Название;Владелец;Тип;Флаг;MMSI;IMO;Позывной;Размер;GT;Грузоподъёмн.;Макс. скорость;Обновлено;Назначения;РВП;Морской статус;Особый груз;Скорость;Осадка;Курс;Направление;Расположение;Статус;Порт приписки;Судостроит. завод;Классифицировано;Год;Палубы;Материал корпуса;Номер корпуса;Тип корпуса;Производитель;Модель;Номер;Мощность (кВт/л.с.);Об./мин.;Тип двигателя;Ход цилиндра;Диаметр цилиндра;Подруль;Силовая установка;Кол. установок;Адрес;Индекс;Город;Страна;Телефон;Факс;E-Mail;Сайт;Грузоподъёмность;Gross Tonnage;Net Tonnage;Компенсированный GT;Водоизмещение;TPC;Длинна (ОДС);Длинна (ДМП);Ширина;Глубина;Высота;Киповая грузовм.;Зерновая грузовм.;Грузовм. рефрижераторных грузов;Рефрижераторный ДФЭ;ДФЭ;Пассажиры;SWL-устройство;Данные устройства;Тип устройства;Трюмы;Люки;Макс. размер люка;Грузовм. жидких грузов;Система инертного газа;Промывка рез. сырой нефтью;Химический Класс IMO;Насосы;Подача насоса;Резервуары;Классы
Avior;Briz Firma Ltd;Diesel;511470000;8844139;T8A2553;108x14 m;2 463 t;3 060 t;10 kn;"<span title=""Сегодня, 14:44"">7мин назад</span>"; ; ;На Якоре;Ни одного;(Ø0,1 kn);2,4 m;279,3° ;-;"40°57'14"" N 28°53'34"" E";In Service;Kaliningrad;-;Krasnoyarsk;Russian Maritime Register;1985;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;300 rpm;-;-;-;-;Fixed Pitch;-;Office 316, Building 14, ul Sofiyskaya 2B;192236;St Petersburg; ;+7 812 449 9743;+7 812 449 9744;briz@sovintel.ru;-;3 060 t;2 463 t;979 t;-;-;-;108,4 m;-;15 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Agsu;Palmali Shipping & Agency;Diesel;Russian Federation;273335920;9503304;UBKF8;150x18 m;7 833 t;13 100 t;10 kn;"<span title=""Сегодня, 14:51"">только что</span>"; ; ;На Якоре;Ни одного;(Ø8,4 kn);6,9 m;-;130°;"60°48'26"" N 5°09'42"" E";In Service;Taganrog;Nizhniy Novgorod;Russian Maritime Register;2008;-;Steel;19619/9;Double Hull;Wartsila;9L20;-;2 754 / 3 744;1 000 rpm;-;-;-;B-1-315;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-;http://www.mnpglobal.com/;13 100 t;7 833 t;2 349 t;-;4 140 t;25,3 t;150,2 m;147,8 m;17,3 m;10,5 m;31 m;-;-;-;-;-;-;-;C-1-30;Cranes;-;-;-;14 474;-;-;-;U-4-350;-;-;-
Adrina;DAF Co Ltd;Diesel;Iran;422052400;8031433;EPCO5;79x12 m;1 575 t;2 235 t;"<span title=""Сегодня, 14:48"">4мин назад</span>"; ; ;На Ходу;Ни одного;(Ø4,8 kn);3,9 m;75,8° ;-;"38°02'47"" N 51°02'30"" E";In Service;Astrakhan;Rosslau;Russian Maritime Register;1980;-;Steel;-;-;-;-;8VD36/24A-1;-;882 / 1 200;-;-;-;-;-;Fixed Pitch;-;ul Naberezhnaya 11/10, Privolzhskiy Zaton;414024;Astrakhan; ;+7 851 222 0976;+7 851 239 4286;dafru@astranet.ru;-;2 235 t;1 575 t;580 t;-;-;-;82 m;78,1 m;11,9 m;-;-;-;1 940 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Azeri Karabakh;Palmali Shipping & Agency;Diesel;Russian Federation;273318810;9352705;UBBB;139x16 m;4 534 t;6 526 t;10 kn;"<span title=""Сегодня, 14:51"">только что</span>"; ; ;Пришвартовано;IMO Hazard B;(Ø0,6 kn);4,3 m;-;318°;"45°19'42"" N 37°22'13"" E";In Service;Taganrog;Istanbul;Russian Maritime Register;2005;-;Steel;-;Double Hull;Wartsila;6L20;-;2 240 / 3 046;1 000 rpm;-;-;-;B-1-230;Directional;-;Tuzla Tersaneler Caddesi, 34944 Tuzla;34944;Istanbul; ;+90 216 446 7427;+90 216 395 3918;-;http://www.tersanshipyard.com/;6 526 t;4 534 t;1 904 t;-;-;-;138,7 m;132,8 m;16,7 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7 221;-;-;-;U-6-150;-;-;-
Azov;Azovo-Donskaya Co;Diesel;Russian Federation;273437770;8943260;UHDR;85x12 m;1 910 t;2 704 t;12 kn;"<span title=""Сегодня, 14:52"">только что</span>"; ; ;На Ходу;Ни одного;(Ø5,5 kn);2,4 m;86° ;-;"47°07'10"" N 39°26'00"" E";In Service;Taganrog;Belgrade;Russian Maritime Register;1987;-;Steel;1112;-;Alpha;6T23LU;-;920 / 1 250;-;-;-;-;-;Fixed Pitch;-;ul Lugovaya 3B, Rostov-na-Donu, 344002;344002;Rostov-na-Donu; ;+7 863 261 8131;+7 863 261 8130;info@shippingexplorer.net;-;2 704 t;1 910 t;593 t;-;-;-;89,7 m;84,8 m;12,3 m;5,8 m;-;-;-;-;-;-;-;-;-;-;-;-;-;2 588;-;-;-;-;-;-;-
Aida;Still Ltd;Diesel;Russian Federation;273445070;6703769;UAYK;96x13 m;1 972 t;2 802 t;10 kn;"<span title=""Сегодня, 10:07"">4ч 4мин назад</span>"; ; ;На Ходу;Ни одного;(Ø6,1 kn);3,7 m;134,4° ;132°;"41°26'31"" N 49°21'50"" E";In Service;Astrakhan;Kaliningrad;Russian Maritime Register;1965;-;Steel;-;-;-;6NVD48A-U;-;970 / 1 318;-;-;-;-;-;Fixed Pitch;-;ul Transportny Tupick 10, 236005 Kaliningrad;236002;Kaliningrad; ;+7 401 264 7540;+7 401 247 2243;marketing@shipyard-yantar.ru;http://www.shipyard-yantar.ru;2 802 t;1 972 t;934 t;-;-;-;95,6 m;89,8 m;13,2 m;5,5 m;-;3 467 m²;-;-;-;-;-;-;-;-;-;-;16.50x9.30;-;-;-;-;-;-;-;-
Akky;;"
              Не Судно
            ";Kazakhstan;436000294;9757450;UNFV;30x9 m;12 августа, 21:05; ; ;Пришвартовано;Ни одного;(Ø0,3 kn);2,3 m;332,4° ;-;"44°32'52"" N 50°14'59"" E"
Aksioma;;-;Russian Federation;273430240;7828499;UHRD;50x10 m;20 августа, 7:17; ; ;На Ходу;Ни одного;(Ø4,1 kn);3,9 m;105,3° ;114°;"43°08'00"" N 48°40'50"" E"
Aktobe;Kazmortransflot LLP;Diesel;Kazakhstan;436000141;9492842;-;150x17 m;7 852 t;13 005 t;10,9 kn;"<span title=""Сегодня, 14:52"">только что</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);3,5 m;183,6° ;194°;"46°19'18"" N 47°58'35"" E";In Service;Aqtau;Nizhniy Novgorod;Russian Maritime Register;2010;-;Steel;19619/12;Double Hull;Wartsila;9L20;-;2 754 / 3 744;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Barrikad 1, 603003 Nizhniy Novgorod;603003;Nizhniy Novgorod; ;+7 831 273 0641;+7 831 273 0649;-;http://www.mnpglobal.com/;13 005 t;7 852 t;3 356 t;7 968 t;3 703 t;-;150,2 m;147,8 m;17,3 m;10,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;14 770;-;-;-;-;-;-;-
Altair;Aleksandr Shipping Limited;Diesel;Russian Federation;273156200;9101235;UEHN;129x17 m;4 631 t;6 084 t;10 kn;"<span title=""Сегодня, 14:52"">только что</span>"; ; ;На Ходу;Ни одного;(Ø6,7 kn);3,3 m;352,8° ;314°;"39°42'35"" N 53°10'36"" E";In Service;Taganrog;Volgograd;Russian Maritime Register;1993;-;Steel;-;Double Hull;Dvigatel Revolyutsii;6CHRNP36/45;-;2 200 / 2 992;500 rpm;-;-;-;B-1-182;Fixed Pitch;-;ul Arsenyeva 2, 400112 Volgograd;400112;Volgograd; ;+7 844 268 2507;+7 844 267 4389;od@invest-shipping.com;-;6 084 t;4 631 t;1 736 t;-;-;-;128,5 m;122,5 m;16,6 m;6,9 m;-;-;-;-;-;-;-;-;-;-;-;-;-;6 616;-;-;-;-;-;-;-
Aleksandr Antonov;Kama River Shipping Co;Diesel;373185000;8972261;3FWZ9;5 216 t;6 088 t;10 kn;"<span title=""Сегодня, 14:39"">13мин назад</span>"; ; ;На Ходу;Ни одного;(Ø7,9 kn);4,1 m;88,2° ;-;"44°06'41"" N 34°04'37"" E";In Service;Moroni;-;Navashino;Russian Maritime Register;1986;-;Steel;1019;-;Dvigatel Revolyutsii;6CHRN36/45;-;1 766 / 2 402;375 rpm;-;-;-;-;Fixed Pitch;-;Dilhayat Sokak 22, Etiler Mah, Besiktas;34337;Istanbul; ;+90 212 287 9721;+90 212 263 0087;sailtrade@sailtrade.com;-;6 088 t;5 216 t;2 915 t;-;-;-;138,4 m;135 m;16,7 m;5,5 m;-;-;9 916 m²;-;-;-;-;-;-;-;-;-;28.80x13.30;-;-;-;-;-;-;-;-
Aleksander Shemagin;Gaztechleasing Ltd;-;Russian Federation;273352260;9612909;UBJI3;140x17 m;"<span title=""Сегодня, 14:52"">только что</span>"; ; ;На Ходу;IMO Hazard A;(Ø7 kn);2,9 m;352,6° ;350°;"47°07'33"" N 39°29'01"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;Miklukho-Maklaya ul.;117279;Moskva; ;+7 495 788 9733;+7 495 788 9755;info@shippingexplorer.net;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alikber Pashaev;Classic Co Ltd;Diesel;Russian Federation;273191000;9103817;UFZX;87x11 m;1 484 t;2 684 t;11,5 kn;20 августа, 6:21; ; ;Ограниченная Маневренность;Ни одного;(Ø5,1 kn);4,8 m;356,7° ;346°;"40°19'38"" N 50°44'18"" E";In Service;Makhachkala;Komarno;Russian Maritime Register;1994;-;Steel;1303;-;Deutz;SBV6M628;-;1 015 / 1 380;800 rpm;-;-;-;-;Fixed Pitch;-;ul Rolnickej Skoly 1519, 945 01 Komarno;945 01;Komarno; ;+421 35 775 2670;+421 35 773 0739;info@slkb.sk;http://www.slkb.sk;2 684 t;1 484 t;828 t;-;-;-;82,5 m;79,2 m;11,4 m;6,1 m;-;-;3 144 m²;-;-;-;-;-;-;-;-;-;53.40x9.00;-;-;-;-;-;-;-;-
Alioth;Top Shipping & Trading Co Ltd;Diesel;511469000;8878374;T8A2552;108x14 m;2 463 t;3 022 t;10,1 kn;"<span title=""Сегодня, 14:46"">7мин назад</span>"; ; ;На Якоре;Ни одного;(Ø6 kn);2,8 m;104° ;-;"38°37'02"" N 20°35'48"" E";In Service;Kaliningrad;-;Krasnoyarsk;Russian Maritime Register;1979;-;Steel;-;-;-;6NVD48A-2U;-;1 030 / 1 400;-;-;-;-;-;Fixed Pitch;-;ul Literaturnaya 10A, Odessa, Ukraine;-;Odessa; ;+380 482 428383;+380 482 630239;topshad@te.nat.ua;-;3 022 t;2 463 t;979 t;-;-;-;108,4 m;105 m;15 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Almaty;Kazmortransflot LLP;Diesel;Kazakhstan;436000032;9323106;-;149x17 m;7 224 t;12 368 t;10,6 kn;"<span title=""Сегодня, 14:26"">26мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø4,3 kn);5,8 m;120° ;108°;"43°00'24"" N 47°28'10"" E";In Service;Aqtau;Vyborg;Russian Maritime Register;2005;-;Steel;-;Double Hull;MAN B&W;6S26MC;-;2 301 / 3 128;250 rpm;-;-;-;-;Fixed Pitch;-;Primorskoye Shosse 2b, 188800 Vyborg;188800;Vyborg; ;+7 813 782 8686;+7 813 782 8952;-;http://www.vyborgshipyard.ru/;12 368 t;7 224 t;3 517 t;-;2 402 t;24,3 t;149,4 m;143,2 m;17,3 m;10,1 m;28,5 m;-;-;-;-;-;-;-;-;-;-;-;-;14 286;-;-;-;U-12-125;-;-;-
Alpamys;Caspian Offshore Construction;Diesel;Kazakhstan;436000296;9400253;UNFX;28x10 m;296 t;182 t;10 kn;Вчера, 8:17; ; ;На Ходу;Ни одного;(Ø3,4 kn);2,8 m;91° ;-;"46°27'13"" N 52°16'33"" E";In Service;Aqtau;Lobith;Russian Maritime Register;2006;-;Steel;-;-;Caterpillar;3508B;-;1 640 / 2 230;1 600 rpm;-;-;-;-;Directional;-;Postbus 12, 6916 ZG Tolkamer;6916 ZG;Tolkamer; ;+31 316 541641;+31 316 542322;-;http://www.dehoop.net;182 t;296 t;88 t;-;-;-;30,4 m;26,8 m;10,4 m;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Alfeo / Afrodita;-;-;Russian Federation;273356460;9631163;UBLI2;35x9 m;Вчера, 8:34; ; ;На Ходу;Ни одного;(Ø2,9 kn);3,4 m;258,2° ;271°;"48°25'16"" N 44°29'51"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;ul. Maksima Gorkogo 78;446394;Volzhskiy; ;+7 846 373 8030;+7 846 373 8070;info@shippingexplorer.net;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Albatros-1;Gems International NV;Diesel;Russian Federation;273327450;6724397;UHOH;50x10 m;691 t;369 t;11,7 kn;15 августа, 14:46; ; ;На Ходу;Ни одного;(Ø0,6 kn);3,2 m;-;-;"46°18'08"" N 47°57'42"" E";In Service;Belize City;Trieste;Bureau Veritas;1967;-;Steel;-;-;-;6M451;-;588 / 799;375 rpm;-;-;-;B-1-112;Controllable Pitch;-;Oberer Graben 4-6, 9001 St Gallen, Switzerland;9001;St Gallen; ;+32 50 559595;+32 50 559557;zeebrugge@gems-group.com;-;369 t;691 t;207 t;-;-;-;51,1 m;42,8 m;9,5 m;5,7 m;-;-;-;-;-;-;-;-;-;-;-;-;6.03x3.00;-;-;-;-;-;-;-;-
Amur-2506;Transoptimal Shipping;Diesel;373400000;8721325;3EZH2;116x13 m;3 086 t;3 340 t;10 kn;"<span title=""Сегодня, 14:51"">только что</span>"; ; ;На Ходу;Ни одного;(Ø5,5 kn);4,1 m;66° ;-;"40°41'11"" N 27°33'45"" E";In Service;Giurgiulesti;-;Komarno;-;1985;-;Steel;2306;-;Skoda;6L275A2;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;Muhittin Ustundag Caddesi 11, Kosuyolu Mah, Kadiko;34718;Istanbul; ;+90 216 327 8368;+90 216 327 8370;transoptimal@superonline.com;-;3 340 t;3 086 t;999 t;-;-;-;115,7 m;109,1 m;13,4 m;-;-;-;4 064 m²;-;-;-;-;-;-;-;-;-;24.70x10.00;-;-;-;-;-;-;-;-
Vympel-1;Transoptimal Shipping;Diesel;Russian Federation;273321780;8721313;-;37x6 m;3 086 t;3 340 t;10 kn;"<span title=""Сегодня, 14:51"">только что</span>"; ; ;Не Под Управлением;Ни одного;(Ø0,2 kn);4,1 m;-;-;"48°30'28"" N 44°43'26"" E";In Service;Giurgiulesti;Komarno;-;1984;-;Steel;2305;-;Skoda;6L275IIIPN;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;Muhittin Ustundag Caddesi 11, Kosuyolu Mah, Kadiko;34718;Istanbul; ;+90 216 327 8368;+90 216 327 8370;transoptimal@superonline.com;-;3 340 t;3 086 t;999 t;-;-;-;115,7 m;111,2 m;13,4 m;-;-;-;4 064 m²;-;-;-;-;-;-;-;-;-;24.00x10.13;-;-;-;-;-;-;-;-
Amur-2522;Metship Ltd;Diesel;Russian Federation;273330100;8721480;UDCE;116x14 m;3 086 t;3 329 t;10 kn;02 августа, 13:13; ; ;На Ходу;Ни одного;(Ø0,4 kn);4,1 m;266,4° ;-;"46°19'51"" N 47°59'10"" E";In Service;St Petersburg;Komarno;Russian Maritime Register;1987;-;Steel;2322;-;Skoda;6L275A2;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;ul Ostrovnaya 2, Moscow, 121552, Russia;121552;Moscow; ;+7 495 234 5247;+7 495 234 5248;office@mellord.ru;-;3 329 t;3 086 t;999 t;-;-;-;116 m;111,2 m;13,4 m;-;-;-;4 064 m²;-;-;-;-;-;-;-;-;-;24.00x10.13;-;-;-;-;-;-;-;-
Amur-2526;Northern River Shipping;Diesel;Russian Federation;273366000;8721521;UCZF;116x13 m;3 086 t;3 332 t;10 kn;"<span title=""Сегодня, 3:50"">11ч назад</span>"; ; ;На Ходу;Ни одного;(Ø6,3 kn);4,1 m;143,1° ;145°;"42°57'23"" N 51°12'55"" E";In Service;Arkhangelsk;Komarno;Russian Maritime Register;1988;-;Steel;2326;-;Skoda;6L275A2;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;ul Kirova 8, Perm, 614000, Russia;614000;Perm; ;+7 342 2108 214;+7 342 2108 214;techman@nrsl.ru;-;3 332 t;3 086 t;925 t;-;-;-;116 m;111,2 m;13,4 m;-;-;-;4 064 m²;-;-;-;-;-;Gearless;-;-;-;24.00x10.13;-;-;-;-;-;-;-;-
Anatoliy Sidenko;-;-;Russian Federation;273340850;9618721;UBPL3;140x17 m;"<span title=""Сегодня, 14:51"">2мин назад</span>"; ; ;Пришвартовано;Ни одного;(Ø2,7 kn);3,1 m;254,3° ;108°;"36°35'38"" N 36°11'14"" E";-;-;-;-;-;-;-;-;-;-;-;-;-;- / -;-;-;-;-;-;-;-;Novoryazanskaya ul. 28;105066;Moskva; ;+7 495 221 4647;+7 495 221 4647;info@shippingexplorer.net;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Andor;Traves LLC;Diesel;Russian Federation;273383040;8230285;UBFO4;114x13 m;2 516 t;3 506 t;10 kn;"<span title=""Сегодня, 14:53"">только что</span>"; ; ;Пришвартовано;Ни одного;(Ø0 kn);3,6 m;-;142°;"47°10'59"" N 39°39'14"" E";In Service;Taganrog;Komarno;Russian Maritime Register;1974;-;Steel;1911;-;Skoda;6L275A2;-;1 030 / 1 400;600 rpm;-;-;-;-;Fixed Pitch;-;ul Petrenko 35, Kherson, Ukraine;-;Moscow; ;+380 552 454345;+380 552 325154;info@traves.ru;-;3 506 t;2 516 t;1 147 t;-;-;-;113,8 m;107,4 m;13 m;5,5 m;-;-;4 720 m²;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Andropov;Volgotanker Volzhski Oil Shpg;Diesel;Russian Federation;273450240;9269348;UGKW;125x14 m;3 584 t;4 585 t;10,5 kn;"<span title=""Сегодня, 14:48"">5мин назад</span>"; ; ;На Якоре;Ни одного;(Ø0,2 kn);4,6 m;303° ;195°;"45°30'19"" N 36°36'18"" E";In Service;Astrakhan;Perm;Russian Maritime Register;2004;-;Steel;-;Double Hull;-;6VDS29/24AL-2;-;1 400 / 1 904;1 000 rpm;-;-;-;-;Fixed Pitch;-;ul Buksirnaja 4, 614023 Perm;614023;Perm; ;+7 342 254 9301;+7 342 254 9099;info@shippingexplorer.net;-;4 585 t;3 584 t;1 223 t;-;-;-;125,6 m;120,5 m;13,7 m;6,5 m;-;-;-;-;-;-;-;-;-;-;-;-;-;4 805;-;-;-;-;-;-;-
